seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscope_local_time,gravity_z,gravity_y,gravity_x,gravity_local_time,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometerUncalibrated_local_time,magnetometer_z,magnetometer_y,magnetometer_x,magnetometer_local_time,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,gyroscopeUncalibrated_local_time,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,orientation_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,0.022835,-0.010623,0.009007,2025-10-15T16:36:45.203-07:00,-8.882070,-3.888641,1.461152,2025-10-15T16:36:45.203-07:00,-618.359883,39.924852,70.697415,2025-10-15T16:36:45.180-07:00,-47.970673,-5.475516,-1.875556,2025-10-15T16:36:45.203-07:00,392.249405,-1.000000,-1.000000,33.304023,422.679108,-1.000000,16.216938,8.734590,-111.680061,-1.000000,2025-10-15T16:36:45.170-07:00,0.022472,-0.013833,0.009348,2025-10-15T16:36:45.184-07:00,-2.341376,-0.152078,0.892489,0.163001,-0.395315,0.154819,0.407768,2025-10-15T16:36:45.203-07:00,-0.898404,-0.389062,0.146294,2025-10-15T16:36:45.194-07:00,0.064805,0.070292,-0.034881,2025-10-15T16:36:45.203-07:00
1.000000,0.129613,0.013967,-0.002973,2025-10-15T16:36:46.127-07:00,-8.932343,-3.773773,1.456259,2025-10-15T16:36:46.127-07:00,-617.878179,40.833999,70.894147,2025-10-15T16:36:46.135-07:00,-47.534497,-4.536612,-1.681726,2025-10-15T16:36:46.127-07:00,,,,,,,,,,,,0.131544,0.012030,-0.004185,2025-10-15T16:36:46.128-07:00,-2.321341,-0.150618,0.889844,0.161583,-0.404136,0.147884,0.395019,2025-10-15T16:36:46.127-07:00,-0.899348,-0.392066,0.149374,2025-10-15T16:36:46.128-07:00,0.104304,-0.063396,0.008804,2025-10-15T16:36:46.127-07:00
2.000000,0.676961,-0.075345,-0.153531,2025-10-15T16:36:47.131-07:00,-9.107788,-3.434497,-0.738633,2025-10-15T16:36:47.131-07:00,-616.385504,44.250714,67.849854,2025-10-15T16:36:47.131-07:00,-46.132892,-1.154745,-4.709605,2025-10-15T16:36:47.131-07:00,,,,,,,,,,,,0.678985,-0.081675,-0.151313,2025-10-15T16:36:47.135-07:00,-1.850142,-0.075643,0.785041,-0.079578,-0.584022,0.169126,0.358538,2025-10-15T16:36:47.131-07:00,-0.892794,-0.313339,-0.060555,2025-10-15T16:36:47.135-07:00,0.353437,0.350939,0.166757,2025-10-15T16:36:47.131-07:00
3.000000,-0.070950,0.069375,0.126144,2025-10-15T16:36:48.135-07:00,-9.325626,-2.508462,-1.526939,2025-10-15T16:36:48.135-07:00,-617.430895,47.838896,69.693232,2025-10-15T16:36:48.127-07:00,-47.371003,2.473269,-2.848425,2025-10-15T16:36:48.135-07:00,,,,,,,,,,,,-0.070347,0.071414,0.117931,2025-10-15T16:36:48.129-07:00,-1.456707,-0.042728,0.664827,-0.161848,-0.730322,0.145759,0.259361,2025-10-15T16:36:48.135-07:00,-0.979712,-0.254962,-0.165996,2025-10-15T16:36:48.129-07:00,-0.285958,0.016337,-0.107421,2025-10-15T16:36:48.135-07:00
4.000000,-0.024046,0.023270,-0.005619,2025-10-15T16:36:49.130-07:00,-9.215886,-3.210657,-0.955711,2025-10-15T16:36:49.130-07:00,-617.353083,44.999232,71.818733,2025-10-15T16:36:49.133-07:00,-47.153897,-0.411005,-0.717084,2025-10-15T16:36:49.130-07:00,,,,,,,,,,,,-0.025506,0.021266,-0.007753,2025-10-15T16:36:49.133-07:00,-1.467403,-0.089049,0.665803,-0.103343,-0.725645,0.148852,0.333550,2025-10-15T16:36:49.130-07:00,-0.931380,-0.322704,-0.097836,2025-10-15T16:36:49.133-07:00,0.081281,0.044543,-0.003981,2025-10-15T16:36:49.130-07:00
5.000000,-0.002226,0.003994,-0.006322,2025-10-15T16:36:50.134-07:00,-9.243697,-3.171600,-0.813322,2025-10-15T16:36:50.134-07:00,-617.563911,45.049340,72.335999,2025-10-15T16:36:50.129-07:00,-47.383641,-0.364741,-0.188155,2025-10-15T16:36:50.134-07:00,,,,,,,,,,,,-0.003201,0.002866,-0.007488,2025-10-15T16:36:50.127-07:00,-1.479384,-0.091805,0.669609,-0.087759,-0.723132,0.142354,0.329338,2025-10-15T16:36:50.134-07:00,-0.934032,-0.322012,-0.081771,2025-10-15T16:36:50.127-07:00,0.086118,0.013647,0.012817,2025-10-15T16:36:50.134-07:00
6.000000,-0.007951,0.009488,-0.017392,2025-10-15T16:36:51.128-07:00,-9.216091,-3.267639,-0.739010,2025-10-15T16:36:51.128-07:00,-617.523117,44.631139,72.486727,2025-10-15T16:36:51.135-07:00,-47.345296,-0.785986,-0.037787,2025-10-15T16:36:51.128-07:00,392.249405,-1.000000,-1.000000,33.304023,422.679108,-1.000000,15.801344,8.751316,-111.680061,-1.000000,2025-10-15T16:36:51.191-07:00,-0.009173,0.007519,-0.019169,2025-10-15T16:36:51.132-07:00,-1.485076,-0.097787,0.670869,-0.080020,-0.720986,0.143255,0.339720,2025-10-15T16:36:51.128-07:00,-0.926275,-0.327932,-0.077789,2025-10-15T16:36:51.132-07:00,0.127388,0.047615,-0.023847,2025-10-15T16:36:51.128-07:00
7.000000,0.350566,-0.010850,-0.349235,2025-10-15T16:36:52.132-07:00,-9.601396,-1.137830,-0.998565,2025-10-15T16:36:52.132-07:00,-617.336742,52.708217,73.703854,2025-10-15T16:36:52.131-07:00,-46.966945,7.166694,1.215879,2025-10-15T16:36:52.132-07:00,,,,,,,,,,,,0.353213,-0.013731,-0.352943,2025-10-15T16:36:52.136-07:00,-1.333036,-0.012219,0.615208,-0.103208,-0.778868,0.080165,0.117300,2025-10-15T16:36:52.132-07:00,-0.967999,-0.108517,-0.097851,2025-10-15T16:36:52.136-07:00,0.114821,0.056907,0.039182,2025-10-15T16:36:52.132-07:00
8.000000,0.018859,0.046372,-0.003622,2025-10-15T16:36:53.136-07:00,-9.758275,0.673616,-0.674968,2025-10-15T16:36:53.136-07:00,-616.894414,58.531835,77.533301,2025-10-15T16:36:53.137-07:00,-46.334330,13.092183,5.085342,2025-10-15T16:36:53.136-07:00,,,,,,,,,,,,0.017755,0.045136,-0.006874,2025-10-15T16:36:53.130-07:00,-1.087142,0.047291,0.515486,-0.069067,-0.855396,0.011708,-0.068747,2025-10-15T16:36:53.136-07:00,-0.994403,0.068329,-0.071013,2025-10-15T16:36:53.130-07:00,0.006525,-0.003392,-0.021683,2025-10-15T16:36:53.136-07:00
9.000000,0.097783,-0.020698,0.019061,2025-10-15T16:36:54.130-07:00,-9.763352,0.655656,-0.631556,2025-10-15T16:36:54.130-07:00,-617.709932,58.023268,78.134770,2025-10-15T16:36:54.132-07:00,-47.165883,12.584073,5.698763,2025-10-15T16:36:54.130-07:00,,,,,,,,,,,,0.097516,-0.022536,0.018655,2025-10-15T16:36:54.134-07:00,-1.000805,0.044695,0.478229,-0.064592,-0.876768,0.012241,-0.066911,2025-10-15T16:36:54.130-07:00,-0.986056,0.063824,-0.065372,2025-10-15T16:36:54.134-07:00,0.092609,-0.029461,-0.009822,2025-10-15T16:36:54.130-07:00
